1774,Franse termen,,I,Controletabel Invoer,5776,E,Controletabel Export,5776,T,Controletabel Transit,5776,E-I,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
siroop,,kwarteel,"1499,13","1498,94",,"8,87","8,87",,"164,00","164,00",,"-1490,26",,,"7,3333333333",21,,,,23,"0,04",,,"0,3333333333",,,,,"4,375",,,"1449,4583333333","0,6666666667","136,3333333333",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,3333333333",,,,,,,"0,1111111111","0,5","5,3333333333"
siroop,,pond,"464979,00","466999,00",,"976,00","976,00",,"76625,00","76625,00",,"-464003,00",,,225,,271,176,,433,,,950,,,272753,,76435,3020,,,1130,,,,,,10812,,,5475,,,50159,252,,12740,,,6,270,,,,190,,,,30,53,,101122,,,,,,36,,,172,,,7890,,
siroop en vruchtensap,,gulden,"220,00","220,00",,"456,00","456,00",,"6,00","6,00",,"236,00",,183,441,,,,,,,,10,,,,,,,,,13,,,,,,,,,,,,1,,,,15,,,,,,,,,,,,,,3,,,5,,,,,,5,,6,,,
blaasbalgen voor smeden,,aantal,"11,00","11,00",,"10,00","10,00",,"0,00","0,00",,"-1,00",,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,1,,,,,,2,,,2,,,,,1,4,,2,,,3,,,,,
blaasbalgen voor smeden,,gulden,"187,00","187,00",,"183,00","183,00",,"0,00","0,00",,"-4,00",,,,,22,,,21,3,,,,,,,,,,,,,,,,,,,,,,,18,,,23,,,,20,,,,,,15,,,52,,,,,15,93,,28,,,60,,,,,
schoenen (nieuwe),,paar,"405,00","405,00",,"5730,00","5730,00",,"5952,00","5952,00",,"5325,00",,57,151,146,24,26,,80,157,,21,6,,,,,,1032,,2,551,,,,,,,,2,1255,,23,,305,33,10,,18,22,,,,22,5,,3958,5,505,2,,44,,30,1035,62,3,15,1427,38,243,17,64,678,13
laarzen en halve laarzen,,paar,"128,00","128,00",,"30,00","30,00",,"4,00","4,00",,"-98,00",,2,4,,,,,,,,,,,,,,,1,,2,6,,6,,,,,,,,,,,2,,3,,1,,,,,,,1,,1,,,,,,3,3,,1,10,2,,,,112,2,
schoenen (oude),,gulden,"62,00","62,00",,"756,00","756,00",,"6,00","6,00",,"694,00",,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,242,,62,263,,,6,,,,1,,67,,,63,,,,,,,,,,5,,,
zijde (ruwe),,pond,"43539,56","43539,56",,"2299,94","2299,94",,"24869,00","24869,00",,"-41239,62",,"35,0625","13,4375",24869,46,,,"20645,25",,,"8154,125","1712,5",,11472,,,,51,,"1755,25",,,1291,,,,,,,,,"14,25",523,,"102,625",,,21,,,,,,,,,3,,,,,,,,,,,,,,,,,
zijde (geverfde en naai-),,pond,"374,24","374,24",,"2837,68","2837,66",,"120,13","120,13",,"2463,44",,51,"37,90625","36,875",3,"121,625",,"121,125","9,5",,"0,25","2584,75",,8,,,,,,"3,0625",,,"1,5","47,5",,2,,,,,,"8,8125",24,,"12,25",,,"22,1875",12,,"0,8333333333",,"9,75",,"0,0625",,"6,8125",,,4,,,"102,5",,,"23,0625",,"73,5","0,5",,,"3,34375","0,3125",
suiker (brood-),,pond,"192172,00","192172,00",,"220186,50","220186,50",,"2167447,75","2167447,75",,"28014,50",,355,11146,809755,"19,75",13,,18,,,,12545,,2014,,49812,318,5109,,5,1566,1900,,,,,,,66,,,,5306,,1,120237,,9,"15970,5",,,"15947,5","1438,5",20,3287,,153,"765,5",8,,27841,,50164,18,"1010994,5","14578,25",,"23229,25",42030,430,"268490,5",82421,5,1820
suiker (kandij-),,pond,"217234,75","217234,75",,"212687,50","212687,50",,"551705,50","551705,00",,"-4547,25",,176,23701,425612,1,200,,"44,5",,,"12,5",6202,,"95,25",,69040,"50,25",1175,,13,223,,,,,"8,75",,,"73,25",,,,1732,,,102899,,,1137,,,"37962,5",65,"2,25",4130,318,119,2038,,,30964,,30510,30,38935,16063,16,3567,"27099,5",40,7850,"142966,5",238,6318
suiker (witte poeder-),,pond,"655264,50","655264,50",,"15434,00","15434,00",,"5763,00","5763,00",,"-639830,50",,,10168,470,,134,,1196,,,860,2162,,126350,,1077,,,,526831,,2510,,,,,,,,,,,20,,,,,,608,,,1435,1706,,907,,,,,,,,,,,"4,5",,,23,,,,,
suiker (bruine poeder-),,pond,"9982607,25","9982607,25",,"2752,00","2752,00",,"0,00","0,00",,"-9979855,25",,,,,,,,,,,,,,1075004,,,"44973,5",,,"7273258,5",,,1350056,,,"33846,5",,,"8269,5",,,,,,10456,,,,,,,,,,,,,2209,,"173071,25",543,,12567,,,,,,,,,1105,,
suiker (snoepjes),,pond,"1637,25","1637,25",,"513,50","513,50",,"2255,00","2255,00",,"-1123,75",,8,"353,5",,2,,,4,,,,,,,,,,,,,,,1,,,112,6,,,,,"10,5",,,"11,5",,,69,7,,"92,5",37,12,"2,75",,,"4,5",2,7,,,,"954,75",104,2236,"123,5",4,,"233,75",,,"7,5",,
suiker (_ devises et _ casser),,gulden,"19,00","19,00",,"0,00","0,00",,"0,00","0,00",,"-19,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,16,,
sukade en konfituren,,pond,"10578,13","10578,13",,"1926,00","1926,00",,"958,00","958,00",,"-8652,13",,377,465,22,"928,25",120,,146,,,38,95,,1625,,,364,75,,"333,75",168,,"2736,5",4,,257,14,,30,7,,"644,75",5,,"335,5",114,,"491,5",721,,38,7,22,,,,"782,5",13,27,78,99,,122,2,203,"4,5",,"5,5","1113,875",,490,132,17,"188,5"
sukade en konfituren,,gulden,"870,00","870,00",,"680,00","680,00",,"13,00","13,00",,"-190,00",,55,473,,549,137,,,,,,,,,,,10,18,,78,10,,,,,7,,,,,,,,,,2,,7,,,,2,,,,,,,,2,4,,80,,13,,7,,82,27,,,,
talk in bulk (dierlijk vet),,pond,"14876,00","14876,00",,"289,00","289,00",,"3770,00","3770,00",,"-14587,00",,,,,,,,,,,,,,7950,,,,,,4450,,,,,,,,,,,,,,100,,,,,,,,,1855,1242,,,,,,,,,54,79,30,,,1155,46,,,1134,210,630
schoorsteenzwart,,gulden,"0,00","0,00",,"125,00","125,00",,"3,00","3,00",,"125,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
tabak (karotten en rollen),,pond,"106897,25","106897,25",,"621897,00","621897,00",,"10062,50","10062,50",,"514999,75",,10,10259,,"218,5",485,,,30,,65,300,,,,,,,,,442,,5,2400,,1065,2810,,4045,,,27,35395,,8,244564,,,"16062,5",,,"10182,5",2810,7,203822,,,,,,82701,,"6566,5",4451,2497,"37989,5",50,"2737,5","6629,75",6533,418,50261,1410,1600
tabaksbladeren,,pond,"5454061,00","5454061,00",,"131272,00","131272,00",,"1975,50","1975,50",,"-5322789,00",,481165,15,,,,,,,,36534,280,,495391,,,4,,,2472794,,,1331659,800,,222702,16845,,87730,2120,,,63600,,,50,,,,,,,,,,,,,,,47562,500,221215,,,56416,,"1475,5",12,,,48439,,
tabak (gestripte),,pond,"0,00","0,00",,"11557,00","11557,00",,"0,00","0,00",,"11557,00",,,5,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,2000,,,5185,,,,,,,,,1746,,,46,,,2475,,,,,,,,,,,,,
tabak (spaanse),,pond,"65,00","65,00",,"4,00","4,00",,"0,00","0,00",,"-61,00",,42,4,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tabak (gesneden en rook-),,pond,"60674,25","60674,25",,"2082,50","2082,50",,"39633,00","39633,00",,"-58591,75",,,14,,,89,,"57,5",2,,"58,25",,,"934,25",,,77,,,111,,,6,,,73,,,1601,15,,,,,,350,,,,,,,,,959,,"10,5",70,"2,5",,,,"2030,5","89,5",1643,"1805,5",,35900,"3427,75",45,50,50482,449,"2037,5"
tabak (snuif-),,pond,"11283,00","11283,00",,"70094,00","70094,00",,"1869,50","1869,50",,"58811,00",,"44,5",4418,12,3,38,,"240,75",512,,18,9218,,"653,25",,,36,"551,5",,6699,1294,,625,,,3,"2,5",,,1750,,1,2225,,"10,75",10768,,"34,5",62,,,10,,,35787,"2,5","37,5",520,,,1449,,120,,97,700,,1514,"117,75",1237,244,1939,252,
zeven (gemaakt en nog te maken),,dozijn,"686,67","686,75",,"402,25","402,25",,"0,00","0,00",,"-284,42",,,,,"27,0833333333",37,,61,"13,5",,,226,,,,,,14,,"1,5","16,4166666667",,,,,11,2,,,8,,"15,5",,,2,25,,"61,6666666667",32,,"145,3333333333","12,8333333333",,"81,6666666667",10,,"71,5",,,89,"5,5",,"14,5",,,"3,8333333333",,,"45,5833333333",,,"55,5833333333",,
tapijtwerk,,gulden,"549,00","549,00",,"612,00","612,00",,"82,00","82,00",,"63,00",,367,562,82,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,50,50,,5,,,,,,,,,,,,,,,,,,,,,7,,,,,
tafelkleden (/stuk),,aantal,"6,00","6,00",,"161,00","161,00",,"16,00","16,00",,"155,00",,2,,15,,,,,,,,,,,,,1,129,,,30,,,,,,,,,,,1,,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
tafelkleden (/stuk),,gulden,"910,00","910,00",,"735,00","735,00",,"403,00","403,00",,"-175,00",,13,,390,,,,,,,,,,,,,130,508,,,220,,,,,,,,,,,761,,13,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,
tafelkleden (/el),,el,"181,00","181,00",,"1936,00","1936,00",,"0,00","0,00",,"1755,00",,,,,,,,,,,,,,,,,,1936,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tafelkleden (/el),,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trijp (moucade),,aantal,"0,00","0,00",,"336,00","336,00",,"0,00","0,00",,"336,00",,,255,,,,,,,,,,,,,,,18,,,,,,60,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trijp (moucade),,el,"0,00","0,00",,"2278,00","2278,00",,"0,00","0,00",,"2278,00",,,,,,,,,,,,,,,,,,2278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kant (hongaarse),,aantal,"0,00","0,00",,"32,00","32,00",,"0,00","0,00",,"32,00",,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kant (hongaarse),,el,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (gemengd),,pond,"209530,00","209530,00",,"18122,25","18122,25",,"57523,00","57523,00",,"-191407,75",,,1631,43309,1898,54,,991,90,,73,,,1665,,,1680,,,1578,,,,,,237,,,,,,8914,25,,6793,,,73,183,,4,121,1618,6,"1,25",,,,144,"38,5",,,1042,1070,7578,"548,5",,725,2561,,,181428,14947,4149
kleurstoffen (gemengd),,gulden,"1290,00","1290,00",,"157,00","157,00",,"184,00","184,00",,"-1133,00",,180,103,,2,,,4,,,,,,827,,,23,1,,172,16,,11,,,,,,,,,,,,50,31,,,,,,,,,,,12,,,,,,,6,,,,65,9,,94,,,25
kleurstoffen (indigo),,pond,"52344,00","52344,00",,"10048,50","10048,50",,"28134,00","28134,00",,"-42295,50",,"160,5",1202,20740,,,,1331,46,,816,6580,,8719,,1251,469,716,,8995,226,,28647,215,4140,,,,,,,716,100,,1066,,,,138,,,,6,,1,,,,,933,,,73,"2,5",1947,"28,5",,,109,,,281,822,50
kleurstoffen (cochenille (scharlaken)),,pond,"2689,63","2689,63",,"635,00","635,00",,"3964,00","3964,00",,"-2054,63",,,538,1285,,,,,,,,5,,653,,,"2,25",12,,77,,,1945,,2679,"2,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,80,
kleurstoffen (berlijns blauw),,pond,"3799,50","3799,50",,"255,00","255,00",,"0,00","0,00",,"-3544,50",,,,,2324,255,,"1086,5",,,154,,,42,,,17,,,6,,,1,,,4,,,,,,90,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,
kleurstoffen (rode en witte wijnsteen),,pond,"11745,00","11745,00",,"1961,00","1961,00",,"5970,00","5970,00",,"-9784,00",,,,,325,,,4,,,,,,60,,,,,,3230,,,,,,925,,,,,,,,,,,,,,,,,,,6,,,,,,,,1150,1725,1920,30,30,2700,,,,6021,200,1350
kleurstoffen (lak van firenze),,pond,"337,00","337,00",,"0,00","0,00",,"0,00","0,00",,"-337,00",,40,,,273,,,3,,,,,,,,,"17,75",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,25",,,,,,,,,,,,,,,,,
kleurstoffen (gewone lak (rood)),,pond,"21,00","21,00",,"60,13","60,13",,"0,00","0,00",,"39,13",,,,,,"0,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,20,,5,40,,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (azuur of gewoon blauw),,pond,"506107,75","506107,75",,"11128,50","11128,50",,"7631,00","7631,00",,"-494979,25",,,144,,12386,,,56763,8,,243,1565,,236537,,,"98847,5",4306,,"44496,5",8,6872,7939,,,29898,,,"4703,5",,,10,3378,,,126,,6,"273,5",,,45,79,,417,12,"7080,25",273,,3680,54,,,6,668,"652,5",,,"40,5",,,2825,525,
"kleurstoffen (orseillemos, niet bereid (lakmoes))",,pond,"10485,58","10485,50",,"22828,00","22828,00",,"8300,00","8300,00",,"12342,42",,158,88,400,,,,,,,164,22435,,,,6231,"6353,5",90,,2333,,358,460,,,10,,,16,,,,,,,62,,,,,,,36,,,,,50,,,25,,,78,1275,25,,,136,,,830,,
"kleurstoffen (orseillemos, bereid)",,pond,"56320,50","56320,50",,"90,00","90,00",,"7586,00","7586,00",,"-56230,50",,1,,,,,,,,,,,,54889,,7586,,,,,,,112,,,375,,,520,,,,,,32,18,,,50,,,,,,,,,,,390,,,"1,5",19,,,,,,3,,,,
kleurstoffen (vermiljoen),,pond,"38940,50","38940,50",,"910,06","910,06",,"5222,00","5222,00",,"-38030,44",,,,,,,,2,,,,860,,"8497,5",,5222,2969,,,18355,,,8968,,,145,,,,,,,,,4,,,,"50,0625",,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (wit d'ecailles),,pond,"1566,00","1566,00",,"0,00","0,00",,"0,00","0,00",,"-1566,00",,,,,,,,,,,,,,1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (gewoon geel),,pond,"381,00","381,00",,"0,00","0,00",,"0,00","0,00",,"-381,00",,,,,,,,,,,,,,329,,,,,,,,,27,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (auripigment),106 (2),(pond),"2459,00","2459,00",,"18,00","18,00",,"0,00","0,00",,"-2441,00",,,,,,,,,,,,18,,1948,,,476,,,21,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (gittegom),,pond,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"kleurstoffen (indiase saffraan, urcuma)",,pond,"289,00","289,00",,"0,00","0,00",,"2884,00","2884,00",,"-289,00",,,,386,,,,,,,,,,289,,2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (stroblauw),,pond,"2976,00","2976,00",,"228,50","228,50",,"21,50","21,50",,"-2747,50",,111,"141,5",,,,,,,,,,,,,,,,,,,,,,,2865,,,,,,,51,,,,,,27,,,,,,8,,,1,"21,5",,,,,,,,,,,,,,,
kleurstoffen (saffer (blauw)),,pond,"117,00","117,00",,"0,00","0,00",,"0,00","0,00",,"-117,00",,,,,,,,,,,,,,77,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (wilde saffraan),,pond,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (strogele zaadjes (wauwe)),,pond,"11424,00","11424,00",,"67932,00","67932,00",,"0,00","0,00",,"56508,00",,,24000,,,,,,,,,,,,,,14,,,,,,,,,,,,8400,43932,,1210,,,1000,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,
kleurstoffen (spaans groen),,pond,"17953,00","17953,00",,"202,00","202,00",,"542,00","542,00",,"-17751,00",,,,,,,,15,11,,,131,,4031,,67,658,,,4144,,,8520,,475,421,,,102,,,,,,40,,,,60,,,,,,,,,,,22,,,,,,,,,,,,,,
kleurstoffen (galgroen),,pond,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (orleaan en roukoe (geel of rood)),,pond,"1540,00","1540,00",,"0,00","0,00",,"0,00","0,00",,"-1540,00",,,,,,,,,,,,,,489,,,20,,,785,,,,,,116,,,,,,128,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (meekrap (rood)),,pond,"345694,50","345694,50",,"108388,00","108388,00",,"72388,00","72388,00",,"-237306,50",,,4390,11476,9516,,,3000,,,3205,85782,,302681,,57062,19137,15829,,"7730,5",,,,1852,,,,,175,,,,310,,241,,,,160,,,,,,15,,,,,,,,,50,3850,9,,,,,,,,
kleurstoffen (koperrood),,pond,"313753,00","313753,00",,"59636,00","59636,00",,"62295,00","62295,00",,"-254117,00",,1075,215,4855,530,,,1732,2,,,15273,,183566,,10911,17650,,,31111,,10680,26070,,,204,,,1190,,,,,,196,,,400,243,,,,100,,131,,,4262,,50,,,100,5673,6320,28894,26837,7029,9566,7000,20750,11419,,1650
kleurstoffen (gewoon zwart),,tonnetje,"425,00","425,00",,"0,00","0,00",,"0,00","0,00",,"-425,00",,,,,,,,,,,,,,,,,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (gewoon zwart),,pond,"11490,00","11490,00",,"2833,00","2833,00",,"1594,50","1594,50",,"-8657,00",,,15,,713,,,373,,,,,,2368,,,2700,,,15,,,281,,,1329,,,,,,66,,,1,,,,190,,,,,,3,,1,,13,100,,,2746,1600,930,368,1025,"651,5",4,,,425,,
kleurstoffen (galnoot (inkt)),,pond,"47004,00","47004,00",,"8975,00","8975,00",,"3008,00","3008,00",,"-38029,00",,,26,,,,,,2,,,8885,,26188,,2990,407,,,14724,,,4339,,,1216,,,50,,,,,,44,,,,42,,,,18,,14,,,,,10,,,,6,,20,,,6,,,,,
kleurstoffen (loodwit e.a.),,pond,"296699,00","296699,00",,"7688,00","7688,00",,"78671,00","78671,00",,"-289011,00",,818,64,,,,,235,,,,5026,,195677,,35293,40450,2000,,32438,,,12609,,,13091,,,453,,,3,,,,,,,521,,,,,,,,30,77,,,,,720,,43378,100,,,,,,75,,
kleurstoffen (weed en smak),,pond,"31412,25","31412,25",,"590,00","590,00",,"34102,00","34102,00",,"-30822,25",,,11,,,,,,,,,465,,28442,,34102,970,,,1925,,,,,,26,,,,,,"0,5",,,5,,,"28,25",110,,,,,,4,,,,,"8,5",,,7,,,,,,,,,,,
kleurstoffen (rood krijt),,pond,"4077,00","4077,00",,"203,00","203,00",,"1003,00","1003,00",,"-3874,00",,41,20,,12,,,210,,,,,,,,,470,,,,,,3280,,,44,,,,,,,,,,,,,75,,,,,,,,,,3,20,108,,,,1000,,,,,,,,,
kleurstoffen (krijtwit),,pond,"456673,00","456673,00",,"6000,00","6000,00",,"1000,00","1000,00",,"-450673,00",,,,,62,,,,,,,,,347740,,,3070,,,4130,,,500,,,125,,,,,,9170,,,25740,,,,1000,,,,1000,,100,,,,,65516,,,,,,50,1800,,20,,,550,3100,
"kleurstoffen (oker, alle soorten)",,pond,"41596,00","41596,00",,"12237,00","12237,00",,"2109,00","2109,00",,"-29359,00",,,,,108,,,,,10,,357,,27913,,1859,2534,,,6115,,,1990,,,1261,,,105,,,,,,128,,,500,10830,,,,,,,,,,,942,,,,,240,,,,,1050,,,,
aarde (amaril),,pond,"490,00","490,00",,"0,00","0,00",,"0,00","0,00",,"-490,00",,,,,4,,,,,,,,,461,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (verfhout),,pond,"385297,50","385297,50",,"19967,00","19967,00",,"299991,00","299991,00",,"-365330,50",,,1106,127163,142,50,,,10,,,8182,,235398,,102864,"56656,25",,,15322,3000,,1200,,,7409,,,5135,,,123,290,,3252,260,,,997,,,,260,,173,,,,,251,,,380,1399,41928,11536,,3195,"4163,25",,1081,44330,4500,23500
kleurstoffen (gele aarde),,kar,"1,00","1,00",,"4,00","4,00",,"0,00","0,00",,"3,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,
kleurstoffen (omber),,pond,"3786,50","3786,50",,"172,00","172,00",,"147,00","147,00",,"-3614,50",,,,,,,,,,,,,,3591,,147,129,,,8,,,,,,12,,,,,,,,,"46,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,172,
kleurstoffen (keulse aarde),,pond,"138387,00","138387,00",,"2263,00","2263,00",,"0,00","0,00",,"-136124,00",,,,,,,,,,,,,,37531,,,73338,,,27510,,,,,,,,,,,,,2263,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kleurstoffen (soda),,pond,"61693,00","61693,00",,"0,00","0,00",,"3361,00","3361,00",,"-61693,00",,,,,,,,,,,,,,10060,,861,,,,26983,,,22834,,,,,,,,,,,,,,,1816,,,,,,,,,,,,,,,,,2500,,,,,,,,,
aarde (romeinse klei),,last,"230,00","230,00",,"0,00","0,00",,"0,00","0,00",,"-230,00",folio 128 recto in 5777,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aarde (romeinse klei),,gulden,"6900,00","0,00",,"0,00","0,00",,"0,00","0,00",,"-6900,00",niet in 5776 of 5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aarde (pottebakkers- en pijpklei),,last,"13,98","13,98",,"820,88","820,88",,"21,90","21,90",,"806,90",,,,,,,,,,,,"67,5",,,,,"0,1",53,,"0,25",3,,,"7,625",,,,,,533,,"0,375","3,125",,,"4,75",,,"42,7083333333",,"6,5",7,"1,5","0,75",,,,"93,1666666667","14,5","0,625",,,"5,375",1,"5,9",,,,,,,,5,
aarde (klei à fouler),,last,"41,83","41,83",,"430,00","430,00",,"0,00","0,00",,"388,17",,,"0,5",,,,,,,,,,,,,,,28,,"0,2",,,,,,,,,,,,12,,,,,,,,,,,,2,,,,,,"4,125",,,,,,,,,,,,"23,5","401,5",
aarde (derle),,last,"8,75","8,75",,"2370,23","2370,23",,"1,00","1,00",,"2361,48",,,944,,,,,,,,,,,,,,,1412,,,,,,,,,,,,,,,,,,"0,025",,,"0,1",,"8,75","14,1",1,,,,,,,,,,,,,,,,,,,,,
aarde (marle),,last,"884,25","884,25",,"198,50","198,50",,"0,40","0,40",,"-685,75",,,118,,,,,,,,,,,,,,"0,25",55,,,,,,,,,,,,,,,,,,"2,5",,,,,,,"0,4",,,,,,,884,,,,23,,,,,,,,,,
terpentijn,,pond,"9886,50","9886,50",,"424,00","424,00",,"4781,00","4781,00",,"-9462,50",,4,370,,,,,,,,,,,8234,,,1265,,,80,,,,,,40,,,,,,,,,"195,5",,,3,54,,50,,,,,,,,,,,,10,,4781,5,,,,,,,,
thee,,pond,"513635,00","513635,00",,"2089,50","2089,50",,"96091,00","96091,00",,"-511545,50",,14052,"423,5",17721,"37,5","27,5",100,"556,25",72,,13592,465,660,"101475,25",,7604,"508,875","152,25",,188003,"22,5",41279,156843,,22170,"3275,5",,,"6303,75",,,471,250,,"4294,5",171,,"8,5","192,25",,,"14,5",3793,265,37,,"114,5",138,"17,5","11683,875",39,1505,"502,5","1,5","5,5","162,5",,"265,5","734,5","0,5",402,10751,83,"568,5"
lijnwaad (witte overtrekken/tafellakens),,stuk,"6955,00","6955,00",,"111,50","111,50",,"19209,25","19209,25",,"-6843,50",,"2966,25","47,5",170,,2,,,,,,,,,,,,,,,,,,62,,,,,,,,43,,,"1171,5",,"155,5","2758,5",,13992,"6,25",,"4891,75",,,,,,,"9,5",,,,,,,,,,,,,,
lijnwaad (witte overtrekken/tafellakens),,el,"141815,25","141815,25",,"791,50","791,50",,"1976,50","1976,50",,"-141023,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44826,,1460,"33731,5",99,,"58296,25",,,563,306,"516,5",,"386,5",,,,,"3958,5",,,,,,,,,440,,,,,
lijnwaad (grijze overtrekken/tafellakens),,stuk,"776,50","776,50",,"15,00","15,00",,"17,00","17,00",,"-761,50",,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"678,5",14,17,95,,,,,,,,,,,,,,,,,,,,,,,
lijnwaad (grijze overtrekken/tafellakens),,el,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neteldoek,,stuk,"381,50","381,50",,"560,50","560,50",,"20938,00","20938,00",,"179,00",,311,191,20476,,,,,2,,25,358,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,2,,,1,,,,,,,,,5,,,,,,,,,1,462,"45,5",,
