Product,Original French name,Dutch translation,unit of measure,Import 1759,Export 1759,Import 1760,Export 1760,Import 1761,Export 1761,Transit 1761,Import 1762,Export 1762,Transit 1762,Import 1763,Export 1763,Transit 1763,Import 1764,Export 1764,Transit 1764,Import 1765,Export 1765,Transit 1765,Import 1766,Export 1766,Transit 1766,Import 1767,Export 1767,Transit 1767,Import 1768,Export 1768,Transit 1768,Import 1769,Export 1769,Transit 1769,Import 1770,Export 1770,Transit 1770,Import 1771,Export 1771,Transit 1771,Import 1772,Export 1772,Transit 1772,Import 1773,Export 1773,Transit 1773,Import 1774,Export 1774,Transit 1774,Import 1775,Export 1775,Transit 1775,Import 1776,Export 1776,Transit 1776,Import 1777,Export 1777,Transit 1777,Import 1778,Export 1778,Transit 1778,Import 1779,Export 1779,Transit 1779,Import 1780,Export 1780,Transit 1780,Import 1781,Export 1781,Transit 1781,Import 1782,Export 1782,Transit 1782,Import 1783,Export 1783,Transit 1783,Import 1784,Export 1784,Transit 1784,Import 1785,Export 1785,Transit 1785,Import 1786,Export 1786,Transit 1786,Import 1787,Export 1787,Transit 1787,Import 1788,Export 1788,Transit 1788,Import 1789,Export 1789,Transit 1789,Import 1790,Export 1790,Transit 1790,Import 1791,Export 1791,Transit 1791
framed mirrors,miroirs encadrés,spiegels (ingekaderde),guilders,7524,452,4415,374,4890,78,"817,5",5949,425,341,"2676,3",209,1884,7841,52,132,6510,191,336,7213,2797,185,2494,495,391,4926,382,570,3913,97,125,1762,325,1219,2896,301,665,3071,77,23,3341,266,529,3054,31,47,3499,1449,117,2010,238,27,1868,65,18,2187,366,45,3703,148,48,2761,183,211,3520,117,104,4335,720,411,6596,1359,240,6045,251,315,3509,265,626,3405,407,799,615,344,858,4096,154,329,7120,220,350,2403,489,417,14674,366,121
leather mittens,mitaines de peaux,lederen wanten,guilders,...,...,...,...,2,9,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
copper scrap,mitrailles de cuivre,koperschroot,pounds,12503,614,12844,846,16662,659,40381,"18393,5",441,36793,19979,854,51006,23161,720,38579,"14075,25",3803,15929,7162,11,7273,10279,88,1547,11461,"14,5",12100,"13461,5",173,12849,"20438,5",0,4542,23388,800,5887,"17133,5",0,3231,13782,22,7624,14596,1400,5435,16819,0,5779,18487,607,5516,"20304,5",4240,7911,41778,100,"2954,25",34277,0,1885,"40690,5",371,8067,17403,0,75229,20040,0,21148,"22185,5",0,8718,29625,40,3069,42321,0,543,40099,0,6412,37074,1051,10261,38647,781,30735,"42371,5","1768,5",1132,35934,830,3750,46562,2351,1240
monkfish,molenaers,molenaar (zeevis),"""wiegen""",...,...,"31,5","201,5","25,38","10,5",0,...,...,...,...,...,...,...,...,...,"96,63",0,0,"122,75",9,0,...,...,...,…,…,…,…,…,…,…,…,…,…,…,…,91,0,0,"73,94","1,5",0,"54,06",0,0,69,0,0,"40,63",0,0,"27,38","0,13",0,"28,58",0,0,"73,63",0,0,"83,81",0,0,112,0,0,73,0,0,"58,56",0,0,"44,96",0,0,60,0,0,"39,25",0,0,56,0,0,"28,5",0,0,50,0,0,"189,13",0,0,"178,88",0,0
molleton,molton  ,moltons / el,guilders,579,0,6697,0,1217,55,80,...,...,...,118,177,7,998,18,90,1332,182,75,523,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
molleton,molton  ,moltons,pieces,...,...,0,4,0,1,0,10,7,0,8,12,0,0,22,0,34,"2,5","4,5",0,10,"6,5",0,"15,5","31,5",0,8,24,2,"1,5","6,25",36,12,7,0,23,0,0,11,0,0,12,1,2,1,0,0,1,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
molleton,molton  ,moltons,ell,567,0,8188,0,"2066,5",66,248,1120,1089,40,485,647,10,"2558,25",36,170,"2329,75",164,"108,5",1657,662,38,"1357,75",251,20,"4834,5",162,0,2386,218,95,860,297,0,337,"306,5",60,837,221,69,"2334,5",280,0,3627,"568,5",83,"1343,75",575,44,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
molleton,molton  ,moltons,guilders,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,1093,210,400,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
pocket watches,montres de poches,zakhorloges (algemeen),guilders,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…,68,10,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
pocket watches in silver,montres de poches à caisses d'argent,zakhorloges (zilveren kast),pieces,63,42,16,12,4,0,164,22,2,14,16,5,1,11,17,1,73,0,0,28,1,0,64,15,1,452,2,3,736,10,0,169,13,15,831,42,0,476,23,0,518,50,6,384,30,2,540,14,2,604,2,15,1030,25,23,765,10,12,585,18,123,980,4,123,907,77,510,1170,75,632,1894,53,451,981,40,549,1424,75,131,2200,10,174,2544,58,65,1575,70,149,936,87,17,489,20,14,1704,15,21
pocket watches in silver,montres de poches à caisses d'argent,zakhorloges (zilveren kast),guilders,2247,1600,468,460,155,0,9627,574,68,632,816,144,30,204,740,20,2258,0,0,650,48,0,1969,740,40,10190,0,85,…,…,…,0,0,0,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
pocket watches in gold,montres de poches à caisses d'or,zakhorloges (gouden kast),pieces,12,10,9,4,3,0,107,6,3,0,6,12,0,8,1,1,10,2,0,3,3,2,10,4,3,112,3,10,193,1,0,292,4,2,65,4,0,145,8,7,176,25,10,93,11,0,58,44,1,66,43,3,116,35,18,98,10,8,96,6,1,60,12,3,450,24,167,239,32,123,172,12,35,71,34,12,650,596,19,283,46,10,747,156,3,454,490,7,772,97,109,87,73,49,548,35,9
pocket watches in gold,montres de poches à caisses d'or,zakhorloges (gouden kast),guilders,1891,1852,1554,376,497,0,13589,630,300,0,721,783,0,884,232,130,2651,213,0,560,240,870,2150,370,454,5480,300,1667,…,…,…,0,0,0,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
pocket watches in 'Pinsbeck',montres de poches à caisses de Pinsbeck,zakhorloges (kast in 'pinsbeck'),pieces,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,36,0,0,18,0,1,36,0,19,13,1,0,41,1,40,24,0,11,23,5,12,29,2,0,18,8,28,53,20,3,37,0,1,41,0,0,12,15,6,23,1,2,4,0,0,26,1,1
restraints,mords de brides,breidels,pieces,567,0,305,1,618,0,482,479,4,834,388,8,189,662,0,317,710,27,170,1019,25,12,676,18,348,733,2,334,1130,0,223,941,12,185,1138,18,1,714,10,198,862,4,307,886,14,36,565,14,312,1027,14,614,888,0,0,916,0,44,882,0,48,582,2,0,446,86,12,560,23,95,926,7,203,278,3,1,474,27,0,1228,149,3,702,8,2,230,0,2,23,4,0,549,0,0,121,0,0
mortars,mortiers de pierre,stenen vijzels,pieces,...,...,9,0,6,0,0,0,1,0,1,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
mortars,mortiers de pierre,stenen vijzels,guilders,...,...,...,...,...,...,...,0,"2,5",0,2,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
salted codfish,morues,kabeljauw (gezouten),tons,"15660,56","4624,25","15403,63","3106,73","15873,67","3218,73","1898,08","14869,5","4174,95","2017,38","18697,02","2318,7","3751,83",18121,"1884,06","3380,13","20356,35","1992,44","4114,38",15616,"1838,13","4276,25","15695,13","1464,56","3828,5","12975,35","1164,85","2411,33","12789,06","932,13","2983,35","14591,73","961,02","2664,75",…,…,…,"9420,98","378,18","1471,16","10517,98","349,43","1388,93","11308,03","288,7","1786,38","13881,06",404,"2465,98","19017,21","547,38","3331,54","19184,08","459,02","3071,75","17902,42","2976,04","1894,63","19608,33","8354,63","3795,29","16944,29","5712,54","4897,25",13540,9230,1716,20814,12977,1754,"11631,99","791,78","1680,13","9173,29","314,54","1605,25","6307,21","290,25","1977,33","1654,54","328,5","2583,38","3954,17","117,42","3054,75","7614,25",423,"2517,13","2351,83","116,79","2573,25","2242,88","120,33","2169,25","2126,63","59,5","1986,75"
moquette,moucade,trijp (moucade),pieces,0,589,0,317,3,706,0,0,158,0,0,371,0,0,1094,0,75,708,0,0,903,0,0,"386,5",0,7,562,0,0,588,0,6,226,0,0,140,0,0,329,0,0,192,0,0,336,0,0,307,0,0,117,0,0,304,0,0,"402,33",0,0,165,0,0,110,0,0,55,0,0,6,0,0,20,0,0,102,0,0,0,0,0,0,0,0,34,3,0,0,0,0,173,0,0,38,0,0,55,0
moquette,moucade,trijp (moucade),ell,...,...,...,...,"137,5",1315,24,0,1579,0,...,...,...,...,...,...,0,650,0,0,1360,0,"12,5",2698,0,0,1585,0,0,757,0,0,352,0,0,638,0,0,0,0,0,24,50,0,2278,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
moquette,moucade,trijp (moucade) / el,guilders,...,...,...,...,75,2756,12,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
bees,mouches à miel,bijen,baskets,591,775,...,...,...,...,...,...,...,...,338,319,347,...,...,...,651,3603,344,731,2547,302,864,2913,489,769,2269,657,619,3193,413,557,2590,139,453,1835,318,"780,5","2087,5",440,658,2172,223,623,2971,489,348,3700,380,341,2396,428,518,3070,449,416,3396,487,580,2995,674,684,3572,448,390,2729,353,265,3457,134,397,3739,316,309,1158,216,482,1104,98,608,1470,271,488,1374,313,970,1948,736,638,1013,275,2402,1569,457,1058,3704,220
beauty spots (taffeta),mouches de taffetas,schoonheidsvlekken (tafzijde),guilders,0,7,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
handkerchiefs,mouchoirs  ,zakdoeken,pieces,...,...,...,...,...,...,...,10169,806,1607,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
handkerchiefs,mouchoirs  ,zakdoeken,boxes,...,...,...,...,...,...,...,...,...,...,"2652,42","41,33","4923,5",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
handkerchiefs,mouchoirs  ,zakdoeken,guilders,...,...,...,...,...,...,...,3184,23,1287,12592,203,24615,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
embroidered handkerchiefs,mouchoirs brodées,geborduurde zakdoeken,pieces,...,...,...,...,2431,0,4150,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
embroidered handkerchiefs,mouchoirs brodées,geborduurde zakdoeken,guilders,...,...,...,...,2034,0,3610,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Indian handkerchiefs,mouchoirs d'Indienne,zakdoeken (indische),boxes,...,...,"7,33",0,...,...,...,"104,75","52,83",24,4,"10,33","17,5",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Indian handkerchiefs,mouchoirs d'Indienne,zakdoeken (indische),guilders,...,...,53,0,70,0,0,...,...,...,30,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Indian handkerchiefs,mouchoirs d'Indienne,zakdoeken (indische),pieces,...,...,...,...,99,0,0,...,...,...,...,...,...,0,296,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
handkerchiefs in cotton,mouchoirs de cotton,zakdoeken (katoen),boxes,...,...,"5100,58","496,5",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
handkerchiefs in cotton,mouchoirs de cotton,zakdoeken (katoen),pieces,31361,536,...,...,29661,923,1980,63457,3746,8279,...,...,...,...,...,...,...,...,...,134,2,0,24,100,2634,…,…,…,0,136,1099,0,371,0,0,10,106,257,0,3551,52,26,932,0,0,980,0,5,11736,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
handkerchiefs in cotton,mouchoirs de cotton,zakdoeken (katoen),ell,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,49337,6657,0,42221,3946,0,40388,1358,145,34508,762,2150,50785,93,2869,"941252,25",1091,1465,30102,282,6055,"33454,75",56,51942,52364,158,10693,21110,2396,9793,"6112,75",55,200,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
handkerchiefs in cotton,mouchoirs de cotton,zakdoeken (katoen),guilders,13836,402,30007,2681,13380,636,1028,19568,50,3671,...,...,...,...,...,...,...,...,...,1018,0,0,...,...,...,300,0,417,…,…,…,…,…,…,…,…,…,450,0,0,...,...,...,0,0,7835,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
handkerchiefs in serrated cotton,mouchoirs de cotton découppés,zakdoeken (gepikeerd katoen),pieces,...,...,...,...,...,...,...,...,...,...,...,...,...,29470,466,3294,37330,4597,9305,54292,707,9337,36890,3015,9130,54506,2574,5606,54954,4695,4528,29663,3487,10921,24857,1637,6963,34923,6435,58685,37198,1108,8966,84955,2689,10678,32733,1958,8480,32979,3281,12986,32549,7638,12375,31867,4212,5613,25661,2546,8623,49166,6401,11199,41069,4556,18621,47840,2244,31236,39769,1868,18654,61525,2068,17514,40844,1608,24672,57130,5920,40741,50924,4140,35911,67168,14025,39619,72460,4991,44331,55711,6564,10291,58318,4568,20129
handkerchiefs in serrated cotton,mouchoirs de cotton découppés,zakdoeken (gepikeerd katoen),guilders,...,...,...,...,...,...,...,...,...,...,...,...,...,14771,398,1575,0,0,0,16448,91,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
handkerchiefs in serrated cotton,mouchoirs de cotton découppés,zakdoeken (gepikeerd katoen),ell,...,...,...,...,...,...,...,...,...,...,...,...,...,4391,66,4699,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
handkerchiefs in linen and cotton,mouchoirs de fil et cotton,zakdoeken (linnen en katoen),pieces,...,...,...,...,37820,62,10172,...,...,...,...,...,...,76,1089,625,78,353,0,408,0,0,0,0,0,0,20,0,0,2,0,1,0,224,0,77,0,0,2,0,0,0,0,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
handkerchiefs in linen and cotton,mouchoirs de fil et cotton,zakdoeken (linnen en katoen),ell,...,...,...,...,...,...,...,...,...,...,...,...,...,"107173,25",2645,40427,3283,350,0,4923,85,320,9027,456,0,16091,207,0,"1737,5",664,920,"12218,5",411,1622,2125,0,1550,126,518,5127,"237,5",0,1504,290,59,1280,70,242,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
handkerchiefs in linen and cotton,mouchoirs de fil et cotton,zakdoeken (linnen en katoen),guilders,...,...,...,...,17042,16,5438,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
handkerchiefs in serrated linen and cotton,mouchoirs de fil et cotton découppés,zakdoeken (gepikeerd linnen en katoen),pieces,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1211,813,1267,4627,1813,1171,676,255,152,1259,26,214,2820,12,0,98,207,100,4046,1692,0,14,161,232,654,438,0,763,984,122,2009,216,1236,1203,334,780,1230,391,1290,472,240,7918,4516,45,1462,3724,1562,9199,3544,993,61,7043,1839,96,2441,5743,7315,1279,4966,1364,5570,18106,714,5593,7836,144,7470,10892,4902,5811,9355,1049,3666,9975,1520,4127,8096,3123,6207,2277,10172
handkerchiefs in serrated linen and cotton,mouchoirs de fil et cotton découppés,zakdoeken (gepikeerd linnen en katoen),guilders,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,528,417,650,162,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
